% source: https://data.worldbank.org/indicator/EN.ATM.CO2E.PC, license: CC BY-NC 4.0, modified by Simone Gramsch
Jahr,"Metrische_Tonnen_pro_Einwohner"
1990,3.90295218998934
1991,3.87459045104576
1992,3.80401065140913
1993,3.76932773275631
1994,3.73238510585118
1995,3.78198265021746
1996,3.80669430846781
1997,3.8135167111584
1998,3.78061192963462
1999,3.74777056945216
2000,3.81265459496114
2001,3.82766380195043
2002,3.83476894106941
2003,3.95851935379256
2004,4.09226725053652
2005,4.19631630865393
2006,4.28102130511003
2007,4.39188115744238
2008,4.37693043722715
2009,4.27714421488462
2010,4.4831625158349
2011,4.56954919090461
2012,4.57653076604432
2013,4.60648662472287
2014,4.55603017486806
2015,4.48351482948438
2016,4.43133690109748
2017,4.43553592525251
2018,4.477651716177


